Vocabulary Size:  27710
Total number of model parameters: 42.82M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 16.72 | loss  6.89 | ppl   981.21
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 15.15 | loss  6.14 | ppl   465.86
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 15.16 | loss  5.86 | ppl   351.58
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 15.17 | loss  5.66 | ppl   286.35
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.53 | ppl   252.78
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.53 | ppl   253.23
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 15.16 | loss  5.51 | ppl   246.38
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 15.17 | loss  5.48 | ppl   240.93
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.45 | ppl   233.16
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.42 | ppl   225.77
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 15.24 | loss  5.37 | ppl   215.01
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.37 | ppl   214.32
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.31 | ppl   202.88
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.32 | ppl   203.52
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.26 | ppl   192.94
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.33 | ppl   205.88
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.25 | ppl   190.17
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.20 | ppl   180.76
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.20 | ppl   180.45
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.18 | ppl   177.33
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.21 | ppl   183.87
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.21 | ppl   183.37
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.17 | ppl   176.37
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.16 | ppl   174.27
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.11 | ppl   166.23
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.14 | ppl   169.96
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.16 | ppl   174.13
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.17 | ppl   176.48
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.09 | ppl   162.44
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.08 | ppl   160.51
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.09 | ppl   162.45
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 244.88s | valid loss  5.15 | valid ppl   172.05
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  5.13 | ppl   168.77
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.13 | ppl   168.47
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.14 | ppl   170.50
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.06 | ppl   157.55
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.03 | ppl   152.58
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.07 | ppl   159.87
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.08 | ppl   161.53
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.08 | ppl   160.65
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.08 | ppl   161.49
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.08 | ppl   161.50
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  5.07 | ppl   158.86
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.08 | ppl   161.15
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.04 | ppl   154.55
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.05 | ppl   156.12
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.02 | ppl   150.81
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.09 | ppl   162.32
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  5.03 | ppl   152.52
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.99 | ppl   146.47
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  5.00 | ppl   147.68
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.98 | ppl   145.64
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch 15.17 | loss  5.03 | ppl   152.77
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch 15.17 | loss  5.03 | ppl   153.36
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch 15.17 | loss  5.00 | ppl   148.40
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.00 | ppl   148.02
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 15.17 | loss  4.95 | ppl   141.44
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.98 | ppl   145.07
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.00 | ppl   148.26
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.01 | ppl   150.52
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.95 | ppl   141.77
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 15.17 | loss  4.95 | ppl   140.59
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.95 | ppl   141.02
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 244.02s | valid loss  5.05 | valid ppl   156.38
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.99 | ppl   147.42
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  5.00 | ppl   147.76
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  5.01 | ppl   149.86
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.94 | ppl   140.01
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.93 | ppl   137.78
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.97 | ppl   143.36
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.98 | ppl   144.92
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.97 | ppl   144.01
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.98 | ppl   145.47
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.98 | ppl   145.31
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.97 | ppl   144.52
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.99 | ppl   146.46
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.95 | ppl   140.70
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.96 | ppl   142.56
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.93 | ppl   138.46
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch 17.87 | loss  5.00 | ppl   147.99
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.94 | ppl   140.44
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.90 | ppl   134.89
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.92 | ppl   137.07
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.90 | ppl   134.73
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.95 | ppl   141.07
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.96 | ppl   142.19
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.92 | ppl   137.52
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.92 | ppl   137.11
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.88 | ppl   131.69
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.91 | ppl   135.30
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.93 | ppl   138.15
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.94 | ppl   140.38
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.89 | ppl   133.32
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.89 | ppl   132.55
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.89 | ppl   132.66
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 245.53s | valid loss  5.00 | valid ppl   148.79
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.93 | ppl   138.19
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.93 | ppl   138.42
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.95 | ppl   140.52
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.88 | ppl   131.89
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.87 | ppl   130.38
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.91 | ppl   135.66
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.93 | ppl   137.80
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.91 | ppl   135.82
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.92 | ppl   137.33
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.93 | ppl   137.83
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.92 | ppl   137.22
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.94 | ppl   139.17
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.90 | ppl   133.79
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.91 | ppl   135.87
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.88 | ppl   131.53
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.95 | ppl   140.65
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.90 | ppl   133.87
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.86 | ppl   129.30
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.88 | ppl   131.32
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.86 | ppl   128.75
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.91 | ppl   135.23
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.91 | ppl   135.97
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.88 | ppl   131.87
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.88 | ppl   131.36
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.84 | ppl   126.33
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.87 | ppl   129.76
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.89 | ppl   132.64
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.90 | ppl   134.68
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.86 | ppl   128.71
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.95
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.93
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 244.11s | valid loss  4.97 | valid ppl   144.51
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.89 | ppl   132.86
| epoch   5 |  1000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.89 | ppl   133.13
| epoch   5 |  1500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.90 | ppl   134.75
| epoch   5 |  2000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.36
| epoch   5 |  2500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.84 | ppl   126.18
| epoch   5 |  3000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.87 | ppl   130.77
| epoch   5 |  3500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.89 | ppl   133.14
| epoch   5 |  4000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.88 | ppl   131.07
| epoch   5 |  4500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.89 | ppl   132.82
| epoch   5 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.89 | ppl   133.16
| epoch   5 |  5500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.89 | ppl   132.95
| epoch   5 |  6000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.90 | ppl   134.70
| epoch   5 |  6500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.87 | ppl   129.85
| epoch   5 |  7000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.88 | ppl   131.32
| epoch   5 |  7500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.85 | ppl   127.77
| epoch   5 |  8000/15983 batches | lr 20.00 | ms/batch 15.24 | loss  4.91 | ppl   135.36
| epoch   5 |  8500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.87 | ppl   129.84
| epoch   5 |  9000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.41
| epoch   5 |  9500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.85 | ppl   127.85
| epoch   5 | 10000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.23
| epoch   5 | 10500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.88 | ppl   131.09
| epoch   5 | 11000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.88 | ppl   132.11
| epoch   5 | 11500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.85 | ppl   128.12
| epoch   5 | 12000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.85 | ppl   127.49
| epoch   5 | 12500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.81 | ppl   123.03
| epoch   5 | 13000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.84 | ppl   126.17
| epoch   5 | 13500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.86 | ppl   128.64
| epoch   5 | 14000/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.87 | ppl   130.91
| epoch   5 | 14500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.32
| epoch   5 | 15000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.83 | ppl   124.78
| epoch   5 | 15500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.82 | ppl   124.13
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 244.30s | valid loss  4.96 | valid ppl   142.71
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.86 | ppl   129.44
| epoch   6 |  1000/15983 batches | lr 20.00 | ms/batch 15.17 | loss  4.86 | ppl   129.23
| epoch   6 |  1500/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.87 | ppl   130.65
| epoch   6 |  2000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.82 | ppl   123.95
| epoch   6 |  2500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.81 | ppl   123.10
| epoch   6 |  3000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.63
| epoch   6 |  3500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.87 | ppl   130.06
| epoch   6 |  4000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.85 | ppl   127.93
| epoch   6 |  4500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.86 | ppl   129.09
| epoch   6 |  5000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.86 | ppl   129.51
| epoch   6 |  5500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.87 | ppl   129.68
| epoch   6 |  6000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.88 | ppl   131.36
| epoch   6 |  6500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.84 | ppl   126.87
| epoch   6 |  7000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.85 | ppl   128.38
| epoch   6 |  7500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   124.85
| epoch   6 |  8000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.89 | ppl   132.58
| epoch   6 |  8500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.84 | ppl   126.65
| epoch   6 |  9000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.81 | ppl   122.80
| epoch   6 |  9500/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.83 | ppl   124.94
| epoch   6 | 10000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.81 | ppl   122.51
| epoch   6 | 10500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   128.10
| epoch   6 | 11000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.86 | ppl   129.13
| epoch   6 | 11500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.72
| epoch   6 | 12000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.83 | ppl   125.05
| epoch   6 | 12500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.79 | ppl   120.25
| epoch   6 | 13000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.82 | ppl   123.60
| epoch   6 | 13500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.84 | ppl   125.87
| epoch   6 | 14000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.81
| epoch   6 | 14500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.81 | ppl   123.11
| epoch   6 | 15000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.81 | ppl   122.19
| epoch   6 | 15500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.80 | ppl   121.47
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 244.14s | valid loss  4.94 | valid ppl   139.39
-----------------------------------------------------------------------------------------
| epoch   7 |   500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.84 | ppl   126.49
| epoch   7 |  1000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.84 | ppl   126.63
| epoch   7 |  1500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.85 | ppl   127.73
| epoch   7 |  2000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.79 | ppl   120.84
| epoch   7 |  2500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.79 | ppl   120.53
| epoch   7 |  3000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.21
| epoch   7 |  3500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.85 | ppl   127.20
| epoch   7 |  4000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.83 | ppl   124.92
| epoch   7 |  4500/15983 batches | lr 20.00 | ms/batch 15.25 | loss  4.84 | ppl   126.59
| epoch   7 |  5000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.84 | ppl   126.43
| epoch   7 |  5500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.85 | ppl   127.21
| epoch   7 |  6000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.86 | ppl   128.91
| epoch   7 |  6500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.82 | ppl   124.32
| epoch   7 |  7000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.84 | ppl   125.99
| epoch   7 |  7500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.80 | ppl   122.02
| epoch   7 |  8000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.86 | ppl   129.65
| epoch   7 |  8500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.82 | ppl   123.82
| epoch   7 |  9000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.79 | ppl   120.28
| epoch   7 |  9500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.81 | ppl   122.44
| epoch   7 | 10000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.79 | ppl   120.14
| epoch   7 | 10500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.84 | ppl   125.88
| epoch   7 | 11000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.84 | ppl   126.66
| epoch   7 | 11500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.82 | ppl   123.48
| epoch   7 | 12000/15983 batches | lr 20.00 | ms/batch 15.22 | loss  4.81 | ppl   122.75
| epoch   7 | 12500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.77 | ppl   117.87
| epoch   7 | 13000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.80 | ppl   121.36
| epoch   7 | 13500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.82 | ppl   123.43
| epoch   7 | 14000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.83 | ppl   125.72
| epoch   7 | 14500/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.80 | ppl   121.18
| epoch   7 | 15000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.79 | ppl   120.44
| epoch   7 | 15500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.78 | ppl   119.55
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 244.32s | valid loss  4.94 | valid ppl   139.09
-----------------------------------------------------------------------------------------
| epoch   8 |   500/15983 batches | lr 20.00 | ms/batch 15.26 | loss  4.83 | ppl   124.62
| epoch   8 |  1000/15983 batches | lr 20.00 | ms/batch 15.21 | loss  4.82 | ppl   124.23
| epoch   8 |  1500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.84 | ppl   125.84
| epoch   8 |  2000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.78 | ppl   118.94
| epoch   8 |  2500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.78 | ppl   118.63
| epoch   8 |  3000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.81 | ppl   123.24
| epoch   8 |  3500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   124.64
| epoch   8 |  4000/15983 batches | lr 20.00 | ms/batch 15.18 | loss  4.81 | ppl   122.63
| epoch   8 |  4500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.82 | ppl   124.54
| epoch   8 |  5000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.82 | ppl   124.54
| epoch   8 |  5500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.83 | ppl   125.06
| epoch   8 |  6000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.84 | ppl   126.86
| epoch   8 |  6500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.81 | ppl   122.20
| epoch   8 |  7000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.82 | ppl   123.94
| epoch   8 |  7500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.79 | ppl   119.92
| epoch   8 |  8000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.85 | ppl   127.49
| epoch   8 |  8500/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.80 | ppl   122.07
| epoch   8 |  9000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.78 | ppl   118.59
| epoch   8 |  9500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.79 | ppl   120.80
| epoch   8 | 10000/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.77 | ppl   118.32
| epoch   8 | 10500/15983 batches | lr 20.00 | ms/batch 15.20 | loss  4.82 | ppl   124.00
| epoch   8 | 11000/15983 batches | lr 20.00 | ms/batch 15.19 | loss  4.83 | ppl   124.68
