Vocabulary Size:  27710
Total number of model parameters: 77.62M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 42.22 | loss  7.02 | ppl  1115.45
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 36.13 | loss  6.07 | ppl   433.70
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 36.18 | loss  5.87 | ppl   355.60
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.68 | ppl   291.80
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 36.18 | loss  5.56 | ppl   260.33
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.57 | ppl   262.19
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.54 | ppl   254.84
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.52 | ppl   249.74
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.50 | ppl   243.48
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.46 | ppl   235.18
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.41 | ppl   224.31
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 36.23 | loss  5.41 | ppl   224.28
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 36.18 | loss  5.36 | ppl   212.58
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.36 | ppl   213.28
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.31 | ppl   202.28
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 36.22 | loss  5.37 | ppl   215.71
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 36.19 | loss  5.30 | ppl   199.91
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.25 | ppl   189.88
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 36.18 | loss  5.25 | ppl   190.31
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.23 | ppl   187.70
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.27 | ppl   194.35
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 36.20 | loss  5.27 | ppl   194.23
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 36.21 | loss  5.23 | ppl   187.04
