Vocabulary Size:  27710
Total number of model parameters: 68.61M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 36.05 | loss  8.58 | ppl  5304.54
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 32.37 | loss  7.10 | ppl  1209.10
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 32.56 | loss  6.66 | ppl   776.68
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 32.59 | loss  6.35 | ppl   575.30
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 32.63 | loss  6.13 | ppl   459.85
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 32.67 | loss  6.08 | ppl   438.01
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  6.01 | ppl   407.16
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 32.82 | loss  5.97 | ppl   391.24
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.93 | ppl   376.30
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 32.87 | loss  5.89 | ppl   361.96
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.82 | ppl   337.40
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 32.73 | loss  5.81 | ppl   332.40
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.74 | ppl   312.43
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.75 | ppl   313.59
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.69 | ppl   295.66
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 32.75 | loss  5.75 | ppl   312.94
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 32.74 | loss  5.66 | ppl   288.14
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 32.77 | loss  5.61 | ppl   274.21
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.61 | ppl   273.65
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.60 | ppl   269.69
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  5.62 | ppl   276.96
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 32.72 | loss  5.61 | ppl   274.39
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 32.68 | loss  5.59 | ppl   267.21
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 32.74 | loss  5.57 | ppl   262.28
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 32.73 | loss  5.52 | ppl   250.09
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 32.73 | loss  5.55 | ppl   256.75
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 32.75 | loss  5.57 | ppl   263.29
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.59 | ppl   267.41
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  5.51 | ppl   246.42
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.49 | ppl   242.78
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.51 | ppl   247.61
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 527.74s | valid loss  5.40 | valid ppl   222.28
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.55 | ppl   257.74
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 32.73 | loss  5.56 | ppl   258.67
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.58 | ppl   264.29
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.50 | ppl   244.53
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.47 | ppl   236.64
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.51 | ppl   248.21
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.52 | ppl   250.07
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.52 | ppl   249.78
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch 32.89 | loss  5.53 | ppl   252.11
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.53 | ppl   251.11
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch 32.76 | loss  5.51 | ppl   247.46
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.53 | ppl   251.09
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.48 | ppl   239.79
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.50 | ppl   244.93
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.47 | ppl   236.62
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.54 | ppl   253.47
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.48 | ppl   238.78
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.44 | ppl   229.99
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.45 | ppl   233.39
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.44 | ppl   231.02
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch 32.84 | loss  5.48 | ppl   239.24
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch 32.82 | loss  5.48 | ppl   239.27
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.46 | ppl   234.83
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch 32.75 | loss  5.45 | ppl   232.94
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 32.77 | loss  5.41 | ppl   223.42
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 32.79 | loss  5.44 | ppl   229.60
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 32.82 | loss  5.46 | ppl   234.93
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.48 | ppl   240.24
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.41 | ppl   224.48
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.40 | ppl   222.44
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 32.87 | loss  5.42 | ppl   226.87
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 527.34s | valid loss  5.32 | valid ppl   204.39
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.47 | ppl   237.09
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.47 | ppl   236.65
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.49 | ppl   242.56
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.43 | ppl   228.43
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch 32.88 | loss  5.40 | ppl   222.29
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch 32.92 | loss  5.45 | ppl   233.06
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch 32.93 | loss  5.46 | ppl   234.69
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch 32.91 | loss  5.46 | ppl   235.03
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch 32.89 | loss  5.48 | ppl   238.79
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch 32.88 | loss  5.47 | ppl   237.86
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch 32.87 | loss  5.46 | ppl   236.09
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.48 | ppl   239.34
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.44 | ppl   230.23
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.46 | ppl   235.04
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.43 | ppl   228.81
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch 32.82 | loss  5.50 | ppl   243.48
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch 32.87 | loss  5.44 | ppl   230.54
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.41 | ppl   223.39
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch 32.88 | loss  5.43 | ppl   227.55
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch 32.87 | loss  5.42 | ppl   225.32
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.45 | ppl   233.48
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch 32.82 | loss  5.45 | ppl   233.29
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.44 | ppl   229.49
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.43 | ppl   227.94
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.39 | ppl   220.30
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch 32.83 | loss  5.42 | ppl   225.73
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch 32.84 | loss  5.44 | ppl   231.30
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.46 | ppl   236.14
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.40 | ppl   222.45
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.39 | ppl   220.18
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch 32.86 | loss  5.41 | ppl   223.71
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 527.93s | valid loss  5.30 | valid ppl   200.20
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.46 | ppl   234.33
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.46 | ppl   235.28
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch 32.78 | loss  5.48 | ppl   239.51
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch 32.88 | loss  5.43 | ppl   227.13
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch 32.91 | loss  5.41 | ppl   222.90
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch 32.91 | loss  5.45 | ppl   232.56
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch 32.90 | loss  5.47 | ppl   236.45
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 32.91 | loss  5.47 | ppl   236.83
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 32.89 | loss  5.48 | ppl   240.94
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 32.85 | loss  5.48 | ppl   239.18
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 32.81 | loss  5.47 | ppl   237.98
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 32.80 | loss  5.49 | ppl   242.24
