Vocabulary Size:  27710
Total number of model parameters: 50.60M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 27.55 | loss 56.12 | ppl 2356756926142323642859520.00
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch 23.85 | loss 46.93 | ppl 241489471016585920512.00
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch 23.89 | loss 32.15 | ppl 91800362949784.67
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch 23.94 | loss 26.79 | ppl 432524200897.06
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch 23.99 | loss 26.55 | ppl 338007229837.83
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch 24.04 | loss 26.59 | ppl 354784320593.14
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch 24.05 | loss 26.53 | ppl 333910792410.73
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch 24.10 | loss 26.45 | ppl 308222995935.74
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch 24.06 | loss 26.51 | ppl 324907255434.37
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch 24.10 | loss 26.31 | ppl 268080609657.36
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch 24.11 | loss 26.69 | ppl 390807664407.05
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch 24.12 | loss 26.35 | ppl 278939891701.16
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch 24.14 | loss 26.34 | ppl 274924335490.27
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch 24.14 | loss 26.48 | ppl 317821017387.62
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch 24.15 | loss 26.12 | ppl 220520349068.16
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 26.33 | ppl 273445447205.64
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch 24.17 | loss 26.37 | ppl 283625191854.09
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 26.31 | ppl 266195915170.97
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch 24.18 | loss 26.34 | ppl 274888423285.72
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 26.40 | ppl 293358451800.19
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch 24.13 | loss 26.25 | ppl 250961230591.14
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch 24.17 | loss 26.81 | ppl 439309645647.00
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch 24.17 | loss 26.38 | ppl 284923420853.27
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch 24.18 | loss 26.62 | ppl 365305894948.57
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch 24.16 | loss 26.41 | ppl 295541682608.24
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch 24.17 | loss 26.55 | ppl 340191832567.07
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch 24.14 | loss 26.28 | ppl 260008771774.37
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch 24.16 | loss 26.57 | ppl 345966991496.23
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch 24.16 | loss 26.64 | ppl 372196940481.86
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch 24.16 | loss 27.05 | ppl 560901269962.70
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch 24.18 | loss 26.46 | ppl 310174514082.48
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 389.10s | valid loss 27.01 | valid ppl 536997012549.77
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch 24.18 | loss 26.67 | ppl 384163643453.49
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch 24.13 | loss 27.08 | ppl 579110312937.38
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch 24.12 | loss 26.88 | ppl 473009604515.47
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 27.08 | ppl 575094077051.11
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch 24.11 | loss 27.06 | ppl 562165707276.83
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch 24.12 | loss 27.05 | ppl 558541637492.29
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch 24.10 | loss 26.60 | ppl 356179954767.10
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch 24.13 | loss 27.08 | ppl 576197519333.70
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch 24.14 | loss 27.29 | ppl 710121470524.40
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch 24.13 | loss 27.59 | ppl 961194346524.40
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch 24.14 | loss 27.15 | ppl 620085338151.07
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch 24.11 | loss 27.13 | ppl 606855037979.98
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch 24.15 | loss 27.51 | ppl 882808053829.42
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch 24.11 | loss 27.52 | ppl 891879537163.86
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch 24.13 | loss 27.79 | ppl 1173965554784.43
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch 24.13 | loss 27.89 | ppl 1295014557945.14
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch 24.09 | loss 27.51 | ppl 888269017387.22
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch 24.14 | loss 28.25 | ppl 1851488511116.02
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch 24.10 | loss 27.93 | ppl 1341804416650.39
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch 24.14 | loss 27.93 | ppl 1342874077819.58
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch 24.12 | loss 28.27 | ppl 1894317143916.52
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch 24.94 | loss 28.30 | ppl 1947380010095.60
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch 24.15 | loss 28.09 | ppl 1574788247981.00
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch 24.12 | loss 28.07 | ppl 1554811954697.93
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 24.24 | loss 28.39 | ppl 2135146489482.70
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 28.61 | ppl 2659098030091.53
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 24.18 | loss 28.25 | ppl 1850384490338.60
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 24.15 | loss 37.83 | ppl 26921861378485340.00
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 24.13 | loss 44.58 | ppl 22959339146159226880.00
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 24.14 | loss 46.12 | ppl 106852155948754403328.00
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 24.12 | loss 45.62 | ppl 65262560963498409984.00
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 388.18s | valid loss 43.90 | valid ppl 11651140121842630656.00
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch 24.15 | loss 14.71 | ppl 2446498.29
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch 24.09 | loss 14.23 | ppl 1511945.88
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.76 | ppl 948238.49
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 14.06 | ppl 1281929.19
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch 24.12 | loss 13.97 | ppl 1163383.61
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.91 | ppl 1104116.39
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch 24.11 | loss 13.63 | ppl 833311.73
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 13.66 | ppl 859739.81
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.95 | ppl 1141573.87
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch 24.08 | loss 14.12 | ppl 1356487.69
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch 24.10 | loss 13.93 | ppl 1116803.14
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch 24.09 | loss 13.69 | ppl 884832.83
