label	f1	precision	recall
	0.8760504201680672	0.916	0.8390342052313883
	0.5897435897435898	0.670	0.5267175572519084
	0.6438356164383562	0.810	0.5340909090909091
	0.7235772357723578	0.848	0.6312056737588653
	0.4166666666666667	0.593	0.3211009174311927
	0.5669291338582677	0.554	0.5806451612903226
	0.6170212765957447	0.659	0.58
	0.5566037735849056	0.728	0.45038167938931295
	0.5979381443298969	0.707	0.5178571428571429
	0.6376811594202898	0.688	0.5945945945945946
macro	0.6226047016578142	0.717	0.5575627840895637
micro	0.7095948827292111	0.798	0.6390168970814132
