label	f1	precision	recall
	0.8802395209580839	0.873	0.8873239436619719
	0.5893719806763285	0.803	0.46564885496183206
	0.5441176470588235	0.771	0.42045454545454547
	0.8059701492537313	0.850	0.7659574468085106
	0.30656934306569344	0.750	0.1926605504587156
	0.5614035087719298	0.615	0.5161290322580645
	0.5542168674698795	0.697	0.46
	0.5781990521327014	0.762	0.46564885496183206
	0.6379310344827587	0.617	0.6607142857142857
	0.5869565217391305	0.491	0.7297297297297297
macro	0.6044975625609061	0.723	0.5564267244009488
micro	0.716821639898563	0.797	0.6513056835637481
