label	f1	precision	recall
	0.8779979144942649	0.911	0.8470824949698189
	0.5655737704918032	0.611	0.5267175572519084
	0.6027397260273972	0.759	0.5
	0.7903225806451613	0.916	0.6950354609929078
	0.36363636363636365	0.765	0.23853211009174313
	0.5357142857142857	0.600	0.4838709677419355
	0.5625	0.587	0.54
	0.6846153846153846	0.690	0.6793893129770993
	0.6608695652173913	0.644	0.6785714285714286
	0.7142857142857143	0.758	0.6756756756756757
macro	0.6358255305127766	0.724	0.5864875008272518
micro	0.7246134559130798	0.795	0.6658986175115207
