label	f1	precision	recall
	0.8792569659442725	0.903	0.8571428571428571
	0.6271186440677966	0.705	0.5648854961832062
	0.5789473684210527	0.688	0.5
	0.7654320987654321	0.912	0.6595744680851063
	0.3974358974358974	0.660	0.28440366972477066
	0.6299212598425197	0.615	0.6451612903225806
	0.5684210526315789	0.600	0.54
	0.6291079812206573	0.817	0.5114503816793893
	0.6972477064220184	0.717	0.6785714285714286
	0.7272727272727273	0.700	0.7567567567567568
macro	0.6500161702023953	0.732	0.5997946348466096
micro	0.7303323517038284	0.807	0.6666666666666666
